id,filename,fault_type,fault_size,load,rpm,clock_pos,data_key,samples,path
118,118.mat,B,0.007,0,1796.0,N/A,X118_DE_time,122571,/home/zoso/Codes/dataset/datasets/ball/118.mat
119,119.mat,B,0.007,1,1772.0,N/A,X119_DE_time,121410,/home/zoso/Codes/dataset/datasets/ball/119.mat
120,120.mat,B,0.007,2,1748.0,N/A,X120_DE_time,121556,/home/zoso/Codes/dataset/datasets/ball/120.mat
121,121.mat,B,0.007,3,1722.0,N/A,X121_DE_time,121556,/home/zoso/Codes/dataset/datasets/ball/121.mat
185,185.mat,B,0.014,0,1796.0,N/A,X185_DE_time,121846,/home/zoso/Codes/dataset/datasets/ball/185.mat
186,186.mat,B,0.014,1,1772.0,N/A,X186_DE_time,122136,/home/zoso/Codes/dataset/datasets/ball/186.mat
187,187.mat,B,0.014,2,1749.0,N/A,X187_DE_time,121991,/home/zoso/Codes/dataset/datasets/ball/187.mat
188,188.mat,B,0.014,3,1724.0,N/A,X188_DE_time,122136,/home/zoso/Codes/dataset/datasets/ball/188.mat
222,222.mat,B,0.021,0,1796.0,N/A,X222_DE_time,121991,/home/zoso/Codes/dataset/datasets/ball/222.mat
223,223.mat,B,0.021,1,1774.0,N/A,X223_DE_time,121701,/home/zoso/Codes/dataset/datasets/ball/223.mat
224,224.mat,B,0.021,2,1754.0,N/A,X224_DE_time,122136,/home/zoso/Codes/dataset/datasets/ball/224.mat
225,225.mat,B,0.021,3,1729.0,N/A,X225_DE_time,122136,/home/zoso/Codes/dataset/datasets/ball/225.mat
3005,3005.mat,B,0.028,0,1797.0,N/A,X048_DE_time,120801,/home/zoso/Codes/dataset/datasets/ball/3005.mat
3006,3006.mat,B,0.028,1,1772.0,N/A,X049_DE_time,121351,/home/zoso/Codes/dataset/datasets/ball/3006.mat
3007,3007.mat,B,0.028,2,1750.0,N/A,X050_DE_time,120984,/home/zoso/Codes/dataset/datasets/ball/3007.mat
3008,3008.mat,B,0.028,3,1730.0,N/A,X051_DE_time,120984,/home/zoso/Codes/dataset/datasets/ball/3008.mat
105,105.mat,IR,0.007,0,1797.0,N/A,X105_DE_time,121265,/home/zoso/Codes/dataset/datasets/inner/105.mat
106,106.mat,IR,0.007,1,1772.0,N/A,X106_DE_time,121991,/home/zoso/Codes/dataset/datasets/inner/106.mat
107,107.mat,IR,0.007,2,1748.0,N/A,X107_DE_time,122136,/home/zoso/Codes/dataset/datasets/inner/107.mat
108,108.mat,IR,0.007,3,1721.0,N/A,X108_DE_time,122917,/home/zoso/Codes/dataset/datasets/inner/108.mat
169,169.mat,IR,0.014,0,1796.0,N/A,X169_DE_time,121846,/home/zoso/Codes/dataset/datasets/inner/169.mat
170,170.mat,IR,0.014,1,1774.0,N/A,X170_DE_time,121846,/home/zoso/Codes/dataset/datasets/inner/170.mat
171,171.mat,IR,0.014,2,1752.0,N/A,X171_DE_time,121846,/home/zoso/Codes/dataset/datasets/inner/171.mat
172,172.mat,IR,0.014,3,1728.0,N/A,X172_DE_time,121701,/home/zoso/Codes/dataset/datasets/inner/172.mat
209,209.mat,IR,0.021,0,1797.0,N/A,X209_DE_time,122136,/home/zoso/Codes/dataset/datasets/inner/209.mat
210,210.mat,IR,0.021,1,1774.0,N/A,X210_DE_time,121556,/home/zoso/Codes/dataset/datasets/inner/210.mat
211,211.mat,IR,0.021,2,1752.0,N/A,X211_DE_time,121846,/home/zoso/Codes/dataset/datasets/inner/211.mat
212,212.mat,IR,0.021,3,1728.0,N/A,X212_DE_time,121991,/home/zoso/Codes/dataset/datasets/inner/212.mat
3001,3001.mat,IR,0.028,0,1797.0,N/A,X056_DE_time,120801,/home/zoso/Codes/dataset/datasets/inner/3001.mat
3002,3002.mat,IR,0.028,1,1772.0,N/A,X057_DE_time,121351,/home/zoso/Codes/dataset/datasets/inner/3002.mat
3003,3003.mat,IR,0.028,2,1750.0,N/A,X058_DE_time,121351,/home/zoso/Codes/dataset/datasets/inner/3003.mat
3004,3004.mat,IR,0.028,3,1730.0,N/A,X059_DE_time,121535,/home/zoso/Codes/dataset/datasets/inner/3004.mat
97,97.mat,Normal,0.0,0,1796.0,N/A,X097_DE_time,243938,/home/zoso/Codes/dataset/datasets/normal/97.mat
98,98.mat,Normal,0.0,1,1772.0,N/A,X098_DE_time,483903,/home/zoso/Codes/dataset/datasets/normal/98.mat
99,99.mat,Normal,0.0,2,1750.0,N/A,X098_DE_time,483903,/home/zoso/Codes/dataset/datasets/normal/99.mat
100,100.mat,Normal,0.0,3,1725.0,N/A,X100_DE_time,485643,/home/zoso/Codes/dataset/datasets/normal/100.mat
144,144.mat,OR,0.007,0,1797.0,3:00,X144_DE_time,122281,/home/zoso/Codes/dataset/datasets/outer/144.mat
130,130.mat,OR,0.007,0,1796.0,6:00,X130_DE_time,121991,/home/zoso/Codes/dataset/datasets/outer/130.mat
156,156.mat,OR,0.007,0,1797.0,12:00,X156_DE_time,122281,/home/zoso/Codes/dataset/datasets/outer/156.mat
131,131.mat,OR,0.007,1,1773.0,6:00,X131_DE_time,122426,/home/zoso/Codes/dataset/datasets/outer/131.mat
158,158.mat,OR,0.007,1,1773.0,12:00,X158_DE_time,121991,/home/zoso/Codes/dataset/datasets/outer/158.mat
145,145.mat,OR,0.007,1,1774.0,3:00,X145_DE_time,121846,/home/zoso/Codes/dataset/datasets/outer/145.mat
132,132.mat,OR,0.007,2,1750.0,6:00,X132_DE_time,121410,/home/zoso/Codes/dataset/datasets/outer/132.mat
159,159.mat,OR,0.007,2,1750.0,12:00,X159_DE_time,122281,/home/zoso/Codes/dataset/datasets/outer/159.mat
146,146.mat,OR,0.007,2,1751.0,3:00,X146_DE_time,121556,/home/zoso/Codes/dataset/datasets/outer/146.mat
133,133.mat,OR,0.007,3,1725.0,6:00,X133_DE_time,122571,/home/zoso/Codes/dataset/datasets/outer/133.mat
147,147.mat,OR,0.007,3,1725.0,3:00,X147_DE_time,122281,/home/zoso/Codes/dataset/datasets/outer/147.mat
160,160.mat,OR,0.007,3,1724.0,12:00,X160_DE_time,122136,/home/zoso/Codes/dataset/datasets/outer/160.mat
197,197.mat,OR,0.014,0,1796.0,6:00,X197_DE_time,121846,/home/zoso/Codes/dataset/datasets/outer/197.mat
198,198.mat,OR,0.014,1,1772.0,6:00,X198_DE_time,122136,/home/zoso/Codes/dataset/datasets/outer/198.mat
199,199.mat,OR,0.014,2,1749.0,6:00,X199_DE_time,121846,/home/zoso/Codes/dataset/datasets/outer/199.mat
